year,state,state_lab,candidate,party,type,votes,winner,electoral_votes
1976,Alabama,AL,"CARTER, JIMMY",Democrat,share,0.55727268884473935,1,9
1976,Alabama,AL,"CARTER, JIMMY",Democrat,absolute,659170,1,9
1976,Alabama,AL,"FORD, GERALD",Republican,share,0.42614870862746757,0,9
1976,Alabama,AL,"FORD, GERALD",Republican,absolute,504070,0,9
1976,Alaska,AK,"FORD, GERALD",Republican,share,0.5790457539611893,1,3
1976,Alaska,AK,"FORD, GERALD",Republican,absolute,71555,1,3
1976,Alaska,AK,"CARTER, JIMMY",Democrat,share,0.3565313091750692,0,3
1976,Alaska,AK,"CARTER, JIMMY",Democrat,absolute,44058,0,3
1976,Arizona,AZ,"FORD, GERALD",Republican,share,0.5636613577948053,1,6
1976,Arizona,AZ,"FORD, GERALD",Republican,absolute,418642,1,6
1976,Arizona,AZ,"CARTER, JIMMY",Democrat,share,0.39799978188251545,0,6
1976,Arizona,AZ,"CARTER, JIMMY",Democrat,absolute,295602,0,6
1976,Arkansas,AR,"CARTER, JIMMY",Democrat,share,0.6496172812966184,1,6
1976,Arkansas,AR,"CARTER, JIMMY",Democrat,absolute,498604,1,6
1976,Arkansas,AR,"FORD, GERALD",Republican,share,0.3490433661005687,0,6
1976,Arkansas,AR,"FORD, GERALD",Republican,absolute,267903,0,6
1976,California,CA,"FORD, GERALD",Republican,share,0.4974831395594693,1,45
1976,California,CA,"FORD, GERALD",Republican,absolute,3882244,1,45
1976,California,CA,"CARTER, JIMMY",Democrat,share,0.47954821836112543,0,45
1976,California,CA,"CARTER, JIMMY",Democrat,absolute,3742284,0,45
1976,Colorado,CO,"FORD, GERALD",Republican,share,0.5402777777777777,1,7
1976,Colorado,CO,"FORD, GERALD",Republican,absolute,584278,1,7
1976,Colorado,CO,"CARTER, JIMMY",Democrat,share,0.4260994599792869,0,7
1976,Colorado,CO,"CARTER, JIMMY",Democrat,absolute,460801,0,7
1976,Connecticut,CT,"FORD, GERALD",Republican,share,0.5188144450735923,1,8
1976,Connecticut,CT,"FORD, GERALD",Republican,absolute,719261,1,8
1976,Connecticut,CT,"CARTER, JIMMY",Democrat,share,0.46733700964038793,0,8
1976,Connecticut,CT,"CARTER, JIMMY",Democrat,absolute,647895,0,8
1976,Delaware,DE,"CARTER, JIMMY",Democrat,share,0.5196908870235357,1,3
1976,Delaware,DE,"CARTER, JIMMY",Democrat,absolute,122461,1,3
1976,Delaware,DE,"FORD, GERALD",Republican,share,0.46587620203529084,0,3
1976,Delaware,DE,"FORD, GERALD",Republican,absolute,109780,0,3
1976,District Of Columbia,DC,"CARTER, JIMMY",Democrat,share,0.8163122667772316,1,3
1976,District Of Columbia,DC,"CARTER, JIMMY",Democrat,absolute,137818,1,3
1976,District Of Columbia,DC,"FORD, GERALD",Republican,share,0.16509506604276492,0,3
1976,District Of Columbia,DC,"FORD, GERALD",Republican,absolute,27873,0,3
1976,Florida,FL,"CARTER, JIMMY",Democrat,share,0.5192610623078361,1,17
1976,Florida,FL,"CARTER, JIMMY",Democrat,absolute,1636000,1,17
1976,Florida,FL,"FORD, GERALD",Republican,share,0.46642434483758966,0,17
1976,Florida,FL,"FORD, GERALD",Republican,absolute,1469531,0,17
1976,Georgia,GA,"CARTER, JIMMY",Democrat,share,0.6693829485931742,1,12
1976,Georgia,GA,"CARTER, JIMMY",Democrat,absolute,979409,1,12
1976,Georgia,GA,"FORD, GERALD",Republican,share,0.3306170514068258,0,12
1976,Georgia,GA,"FORD, GERALD",Republican,absolute,483743,0,12
1976,Hawaii,HI,"CARTER, JIMMY",Democrat,share,0.5059199934088795,1,4
1976,Hawaii,HI,"CARTER, JIMMY",Democrat,absolute,147375,1,4
1976,Hawaii,HI,"FORD, GERALD",Republican,share,0.48061283689379714,0,4
1976,Hawaii,HI,"FORD, GERALD",Republican,absolute,140003,0,4
1976,Idaho,ID,"FORD, GERALD",Republican,share,0.5988026937923104,1,4
1976,Idaho,ID,"FORD, GERALD",Republican,absolute,204151,1,4
1976,Idaho,ID,"CARTER, JIMMY",Democrat,share,0.37118545633733413,0,4
1976,Idaho,ID,"CARTER, JIMMY",Democrat,absolute,126549,0,4
1976,Illinois,IL,"FORD, GERALD",Republican,share,0.5007684353529401,1,26
1976,Illinois,IL,"FORD, GERALD",Republican,absolute,2364269,1,26
1976,Illinois,IL,"CARTER, JIMMY",Democrat,share,0.48107590268914247,0,26
1976,Illinois,IL,"CARTER, JIMMY",Democrat,absolute,2271295,0,26
1976,Indiana,IN,"FORD, GERALD",Republican,share,0.5332274647107094,1,13
1976,Indiana,IN,"FORD, GERALD",Republican,absolute,1183958,1,13
1976,Indiana,IN,"CARTER, JIMMY",Democrat,share,0.45700385792947273,0,13
1976,Indiana,IN,"CARTER, JIMMY",Democrat,absolute,1014714,0,13
1976,Iowa,IA,"FORD, GERALD",Republican,share,0.49469437654722925,1,8
1976,Iowa,IA,"FORD, GERALD",Republican,absolute,632864,1,8
1976,Iowa,IA,"CARTER, JIMMY",Democrat,share,0.48458496540694423,0,8
1976,Iowa,IA,"CARTER, JIMMY",Democrat,absolute,619931,0,8
1976,Kansas,KS,"FORD, GERALD",Republican,share,0.5248782423043394,1,7
1976,Kansas,KS,"FORD, GERALD",Republican,absolute,502752,1,7
1976,Kansas,KS,"CARTER, JIMMY",Democrat,share,0.44936393675385894,0,7
1976,Kansas,KS,"CARTER, JIMMY",Democrat,absolute,430421,0,7
1976,Kentucky,KY,"CARTER, JIMMY",Democrat,share,0.5275424926872652,1,9
1976,Kentucky,KY,"CARTER, JIMMY",Democrat,absolute,615717,1,9
1976,Kentucky,KY,"FORD, GERALD",Republican,share,0.45568748275702525,0,9
1976,Kentucky,KY,"FORD, GERALD",Republican,absolute,531852,0,9
1976,Louisiana,LA,"CARTER, JIMMY",Democrat,share,0.5177499622274604,1,10
1976,Louisiana,LA,"CARTER, JIMMY",Democrat,absolute,661365,1,10
1976,Louisiana,LA,"FORD, GERALD",Republican,share,0.45988243150253294,0,10
1976,Louisiana,LA,"FORD, GERALD",Republican,absolute,587446,0,10
1976,Maine,ME,"FORD, GERALD",Republican,share,0.489307780225605,1,4
1976,Maine,ME,"FORD, GERALD",Republican,absolute,236320,1,4
1976,Maine,ME,"CARTER, JIMMY",Democrat,share,0.480940766261947,0,4
1976,Maine,ME,"CARTER, JIMMY",Democrat,absolute,232279,0,4
1976,Maryland,MD,"CARTER, JIMMY",Democrat,share,0.5303541992343639,1,10
1976,Maryland,MD,"CARTER, JIMMY",Democrat,absolute,759612,1,10
1976,Maryland,MD,"FORD, GERALD",Republican,share,0.46964580076563617,0,10
1976,Maryland,MD,"FORD, GERALD",Republican,absolute,672661,0,10
1976,Massachusetts,MA,"CARTER, JIMMY",Democrat,share,0.5611157822510813,1,14
1976,Massachusetts,MA,"CARTER, JIMMY",Democrat,absolute,1429475,1,14
1976,Massachusetts,MA,"FORD, GERALD",Republican,share,0.40441709276098914,0,14
1976,Massachusetts,MA,"FORD, GERALD",Republican,absolute,1030276,0,14
1976,Michigan,MI,"FORD, GERALD",Republican,share,0.518607510700818,1,21
1976,Michigan,MI,"FORD, GERALD",Republican,absolute,1893742,1,21
1976,Michigan,MI,"CARTER, JIMMY",Democrat,share,0.46465074118397737,0,21
1976,Michigan,MI,"CARTER, JIMMY",Democrat,absolute,1696714,0,21
1976,Minnesota,MN,"CARTER, JIMMY",Democrat,share,0.5489630145887213,1,10
1976,Minnesota,MN,"CARTER, JIMMY",Democrat,absolute,1070440,1,10
1976,Minnesota,MN,"FORD, GERALD",Republican,share,0.4202174333348206,0,10
1976,Minnesota,MN,"FORD, GERALD",Republican,absolute,819395,0,10
1976,Mississippi,MS,"CARTER, JIMMY",Democrat,share,0.4962701232447065,1,7
1976,Mississippi,MS,"CARTER, JIMMY",Democrat,absolute,381329,1,7
1976,Mississippi,MS,"FORD, GERALD",Republican,share,0.4774216218326631,0,7
1976,Mississippi,MS,"FORD, GERALD",Republican,absolute,366846,0,7
1976,Missouri,MO,"CARTER, JIMMY",Democrat,share,0.5110498566748567,1,12
1976,Missouri,MO,"CARTER, JIMMY",Democrat,absolute,998387,1,12
1976,Missouri,MO,"FORD, GERALD",Republican,share,0.47473536036036035,0,12
1976,Missouri,MO,"FORD, GERALD",Republican,absolute,927443,0,12
1976,Montana,MT,"FORD, GERALD",Republican,share,0.5283998612860246,1,4
1976,Montana,MT,"FORD, GERALD",Republican,absolute,173703,1,4
1976,Montana,MT,"CARTER, JIMMY",Democrat,share,0.4540418697183741,0,4
1976,Montana,MT,"CARTER, JIMMY",Democrat,absolute,149259,0,4
1976,Nebraska,NE,"FORD, GERALD",Republican,share,0.5920388826351588,1,5
1976,Nebraska,NE,"FORD, GERALD",Republican,absolute,359219,1,5
1976,Nebraska,NE,"CARTER, JIMMY",Democrat,share,0.38449671940126806,0,5
1976,Nebraska,NE,"CARTER, JIMMY",Democrat,absolute,233293,0,5
1976,Nevada,NV,"FORD, GERALD",Republican,share,0.5016594345043492,1,3
1976,Nevada,NV,"FORD, GERALD",Republican,absolute,101273,1,3
1976,Nevada,NV,"CARTER, JIMMY",Democrat,share,0.4580980403812241,0,3
1976,Nevada,NV,"CARTER, JIMMY",Democrat,absolute,92479,0,3
1976,New Hampshire,NH,"FORD, GERALD",Republican,share,0.5474682519352113,1,4
1976,New Hampshire,NH,"FORD, GERALD",Republican,absolute,185935,1,4
1976,New Hampshire,NH,"CARTER, JIMMY",Democrat,share,0.43472692100451377,0,4
1976,New Hampshire,NH,"CARTER, JIMMY",Democrat,absolute,147645,0,4
1976,New Jersey,NJ,"FORD, GERALD",Republican,share,0.500813409446165,1,17
1976,New Jersey,NJ,"FORD, GERALD",Republican,absolute,1509688,1,17
1976,New Jersey,NJ,"CARTER, JIMMY",Democrat,share,0.4792391503387658,0,17
1976,New Jersey,NJ,"CARTER, JIMMY",Democrat,absolute,1444653,0,17
1976,New Mexico,NM,"FORD, GERALD",Republican,share,0.5074989798122854,1,4
1976,New Mexico,NM,"FORD, GERALD",Republican,absolute,211419,1,4
1976,New Mexico,NM,"CARTER, JIMMY",Democrat,share,0.4828440433039679,0,4
1976,New Mexico,NM,"CARTER, JIMMY",Democrat,absolute,201148,0,4
1976,New York,NY,"CARTER, JIMMY",Democrat,share,0.4865083285569763,1,41
1976,New York,NY,"CARTER, JIMMY",Democrat,absolute,3244165,1,41
1976,New York,NY,"FORD, GERALD",Republican,share,0.4237855381207277,0,41
1976,New York,NY,"FORD, GERALD",Republican,absolute,2825913,0,41
1976,North Carolina,NC,"CARTER, JIMMY",Democrat,share,0.5526918671248569,1,13
1976,North Carolina,NC,"CARTER, JIMMY",Democrat,absolute,927365,1,13
1976,North Carolina,NC,"FORD, GERALD",Republican,share,0.4421940204040036,0,13
1976,North Carolina,NC,"FORD, GERALD",Republican,absolute,741960,0,13
1976,North Dakota,ND,"FORD, GERALD",Republican,share,0.5169184818437446,1,3
1976,North Dakota,ND,"FORD, GERALD",Republican,absolute,153684,1,3
1976,North Dakota,ND,"CARTER, JIMMY",Democrat,share,0.4577004318753616,0,3
1976,North Dakota,ND,"CARTER, JIMMY",Democrat,absolute,136078,0,3
1976,Ohio,OH,"CARTER, JIMMY",Democrat,share,0.4889868666639419,1,25
1976,Ohio,OH,"CARTER, JIMMY",Democrat,absolute,2009959,1,25
1976,Ohio,OH,"FORD, GERALD",Republican,share,0.48671631565938184,0,25
1976,Ohio,OH,"FORD, GERALD",Republican,absolute,2000626,0,25
1976,Oklahoma,OK,"FORD, GERALD",Republican,share,0.4996177618514426,1,8
1976,Oklahoma,OK,"FORD, GERALD",Republican,absolute,545708,1,8
1976,Oklahoma,OK,"CARTER, JIMMY",Democrat,share,0.48747220190231,0,8
1976,Oklahoma,OK,"CARTER, JIMMY",Democrat,absolute,532442,0,8
1976,Oregon,OR,"FORD, GERALD",Republican,share,0.4778439346096035,1,6
1976,Oregon,OR,"FORD, GERALD",Republican,absolute,492120,1,6
1976,Oregon,OR,"CARTER, JIMMY",Democrat,share,0.47618062757069785,0,6
1976,Oregon,OR,"CARTER, JIMMY",Democrat,absolute,490407,0,6
1976,Pennsylvania,PA,"CARTER, JIMMY",Democrat,share,0.5039567935072532,1,27
1976,Pennsylvania,PA,"CARTER, JIMMY",Democrat,absolute,2328677,1,27
1976,Pennsylvania,PA,"FORD, GERALD",Republican,share,0.4773221531310575,0,27
